tahun,wilayah,kecamatan,tenaga_kesehatan,jumlah
2020,Jakarta Timur,JATINEGARA,bidan,122
2020,Jakarta Timur,MATRAMAN,bidan,77
2020,Jakarta Timur,PULOGADUNG,bidan,178
2020,Jakarta Timur,CAKUNG,bidan,175
2020,Jakarta Timur,DUREN SAWIT,bidan,331
2020,Jakarta Timur,KRAMAT JATI,bidan,273
2020,Jakarta Timur,MAKASAR,bidan,175
2020,Jakarta Timur,CIPAYUNG,bidan,162
2020,Jakarta Timur,PASAR REBO,bidan,244
2020,Jakarta Timur,CIRACAS,bidan,103
